                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 4.2997,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8492,                      0,                      0,                      0,                      0
                      2,                      0,                 4.3112,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8364,                      0,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                      0,                 4.3021,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8169,                      0,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                      0,                 4.3129,                      0,                      0,                      0,                      0,                      0,                      0,                 3.7681,                      0,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                      0,                 4.2776,                      0,                      0,                      0,                      0,                      0,                      0,                 3.7109,                      0,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                      0,                 4.2926,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6642,                      0,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                      0,                 4.2575,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6409,                      0,             0.00011287,             0.00011287,             0.00011287
                      8,                      0,                 4.2275,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6096,                      0,              0.0001303,              0.0001303,              0.0001303
                      9,                      0,                 4.2363,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6227,                      0,             0.00014733,             0.00014733,             0.00014733
                     10,                      0,                 4.2014,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6538,                      0,             0.00016396,             0.00016396,             0.00016396
                     11,                      0,                 4.1833,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6548,                      0,              0.0001802,              0.0001802,              0.0001802
                     12,                      0,                 4.1699,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6164,                      0,             0.00019604,             0.00019604,             0.00019604
                     13,                      0,                 4.1685,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5793,                      0,             0.00021149,             0.00021149,             0.00021149
                     14,                      0,                 4.1418,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5314,                      0,             0.00022654,             0.00022654,             0.00022654
                     15,                      0,                 4.1283,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4487,                      0,             0.00024119,             0.00024119,             0.00024119
                     16,                      0,                 4.1239,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3689,                      0,             0.00025545,             0.00025545,             0.00025545
                     17,                      0,                 4.0748,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3058,                      0,             0.00026931,             0.00026931,             0.00026931
                     18,                      0,                 4.0682,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3058,                      0,             0.00028278,             0.00028278,             0.00028278
                     19,                      0,                 4.0682,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3156,                      0,             0.00029585,             0.00029585,             0.00029585
                     20,                      0,                 4.0284,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3156,                      0,             0.00030852,             0.00030852,             0.00030852
                     21,                      0,                 4.0233,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3712,                      0,              0.0003208,              0.0003208,              0.0003208
                     22,                      0,                 4.0069,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3712,                      0,             0.00033268,             0.00033268,             0.00033268
                     23,                      0,                 4.0009,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4142,                      0,             0.00034417,             0.00034417,             0.00034417
                     24,                      0,                 3.9718,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4142,                      0,             0.00035526,             0.00035526,             0.00035526
                     25,                      0,                 3.9702,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3835,                      0,             0.00036595,             0.00036595,             0.00036595
                     26,                      0,                 3.9406,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3835,                      0,             0.00037625,             0.00037625,             0.00037625
                     27,                      0,                  3.948,                      0,                      0,                      0,                      0,                      0,                      0,                 3.2335,                      0,             0.00038615,             0.00038615,             0.00038615
                     28,                      0,                 4.5502,                      0,                      0,                      0,                      0,                      0,                      0,                 3.2335,                      0,             0.00039566,             0.00039566,             0.00039566
                     29,                      0,                 3.9006,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0792,                      0,             0.00040477,             0.00040477,             0.00040477
                     30,                      0,                 3.8855,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0792,                      0,             0.00041348,             0.00041348,             0.00041348
                     31,                      0,                 3.8746,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9414,                      0,              0.0004218,              0.0004218,              0.0004218
                     32,                      0,                 3.8602,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9414,                      0,             0.00042972,             0.00042972,             0.00042972
                     33,                      0,                 3.8463,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7876,                      0,             0.00043725,             0.00043725,             0.00043725
                     34,                      0,                 3.8085,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7876,                      0,             0.00044438,             0.00044438,             0.00044438
                     35,                      0,                 3.8212,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8229,                      0,             0.00045111,             0.00045111,             0.00045111
                     36,                      0,                 3.7797,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8229,                      0,             0.00045745,             0.00045745,             0.00045745
                     37,                      0,                 3.7827,                      0,                      0,                      0,                      0,                      0,                      0,                 2.6216,                      0,             0.00046339,             0.00046339,             0.00046339
                     38,                      0,                 3.7409,                      0,                      0,                      0,                      0,                      0,                      0,                 2.6216,                      0,             0.00046894,             0.00046894,             0.00046894
                     39,                      0,                 3.7687,                      0,                      0,                      0,                      0,                      0,                      0,                 2.6109,                      0,             0.00047409,             0.00047409,             0.00047409
